"id","role_id","resource_id","create_by","create_date","update_by","update_date","del_flag"
"12100","0","12100","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"12200","0","12200","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"12300","0","12300","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"12400","0","12400","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"12500","0","12500","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"12600","0","12600","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"12700","0","12700","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"13000","0","13000","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"13100","0","13100","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"13200","0","13200","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"13300","0","13300","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"13400","0","13400","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"13500","0","13500","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"13600","0","13600","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"13700","0","13700","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"14000","0","14000","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"14100","0","14100","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"14200","0","14200","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"14300","0","14300","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"14400","0","14400","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"14500","0","14500","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"15000","0","15000","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"15100","0","15100","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"15200","0","15200","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"15300","0","15300","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"15400","0","15400","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
"15500","0","15500","0","1900-01-01 00:00:00","0","1900-01-01 00:00:00","NORMAL"
